scenario,scheduler,passengers,delivered,wait_avg,wait_max,wait_p95,total_avg,total_max,total_p95,travel_avg,sim_length,throughput,total_distance
Provided sample (15 reqs),nearest_car,15,15,41.9,81,80.3,77.7,125,118.0,35.7,146,0.103,321
Provided sample (15 reqs),round_robin,15,15,37.4,61,59.6,73.1,118,110.3,35.7,133,0.113,370
Provided sample (15 reqs),zone_based,15,15,52.4,87,82.8,88.1,146,131.3,35.7,161,0.093,387
Mixed traffic (200 reqs),nearest_car,200,200,114.7,241,219.0,134.9,278,236.0,20.3,551,0.363,1990
Mixed traffic (200 reqs),round_robin,200,200,126.6,265,240.0,146.8,306,256.1,20.3,583,0.343,2227
Mixed traffic (200 reqs),zone_based,200,200,124.7,277,231.4,144.9,304,253.2,20.3,563,0.355,2123
Up-peak rush (150 reqs),nearest_car,150,150,182.7,371,331.1,212.6,425,380.1,29.9,487,0.308,1725
Up-peak rush (150 reqs),round_robin,150,150,180.7,375,351.5,210.5,408,386.6,29.9,466,0.322,1771
Up-peak rush (150 reqs),zone_based,150,150,196.8,389,375.0,226.7,443,409.0,29.9,498,0.301,1901
Down-peak rush (150 reqs),nearest_car,150,150,201.1,383,367.6,230.9,400,395.0,29.9,457,0.328,1636
Down-peak rush (150 reqs),round_robin,150,150,205.5,386,370.1,235.3,403,398.0,29.9,460,0.326,1656
Down-peak rush (150 reqs),zone_based,150,150,187.4,372,355.0,217.3,389,384.0,29.9,446,0.336,1588
Tall building (300 reqs),nearest_car,300,300,95.9,242,203.1,131.4,299,236.1,35.5,674,0.445,3807
Tall building (300 reqs),round_robin,300,300,128.1,258,225.1,163.6,312,263.1,35.5,720,0.417,3982
Tall building (300 reqs),zone_based,300,300,114.5,262,219.0,150.0,313,263.1,35.5,686,0.437,3797
